#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
BGC0000001_orfS_28	0.0000	594	0.7222	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuX1_29	0.0000	1701	0.7108	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuGT8_30	0.0000	1218	0.7102	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuAVIII_31	0.0000	11142	0.7196	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuAVII_32	0.0000	8904	0.7207	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuAVI_33	0.0000	23502	0.7238	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuAV_34	0.0000	13227	0.7173	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuAIV_35	0.0000	9645	0.7157	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuAIII_36	0.0000	5265	0.7212	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuAII_37	0.0000	14985	0.7122	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuAI_38	0.0000	16566	0.7171	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuO2_39	0.0000	1212	0.7071	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuGT7_40	0.0000	1236	0.7023	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuGT6_41	0.0000	1215	0.6979	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuS6_42	0.2307	867	0.6667	23.0681	200	0	2	0.5500	0	0.42
BGC0000002_acuW_43	0.0000	1797	0.7190	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuR5_44	0.0000	591	0.7073	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuGT5_45	0.0000	1221	0.7150	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuGT4_46	0.0000	1191	0.7120	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuS5_47	0.0000	801	0.6916	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuH_48	0.0000	1611	0.6803	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuN2_49	0.0000	1236	0.6837	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuGT3_50	0.0000	1251	0.7178	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuN1_51	0.0000	1110	0.6586	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuGT2_52	0.0000	1248	0.6939	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuS4_53	0.0000	1467	0.6721	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuS3_54	0.0000	606	0.6601	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuGT1_55	0.0000	1200	0.7108	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuS2_56	0.2882	975	0.6851	21.0256	205	1	2	0.6263	0	0.60
BGC0000002_acuR4_57	0.0000	741	0.6802	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuO1_58	0.0000	867	0.7128	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuS1_59	0.0000	1203	0.6667	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuR3_60	0.0000	2784	0.7550	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuR2_61	0.0000	2619	0.7434	0.0000	0	0	0	0.0000	0	0.00
BGC0000002_acuR1_62	0.0000	2667	0.7439	0.0000	0	0	0	0.0000	0	0.00
BGC0000003_AFT9-1_63	0.0000	9018	0.4958	0.0000	0	0	0	0.0000	0	0.00
BGC0000003_AFT10-1_64	0.0000	1299	0.4981	0.0000	0	0	0	0.0000	0	0.00
BGC0000003_AFT11-1_65	0.0000	1530	0.4967	0.0000	0	0	0	0.0000	0	0.00
BGC0000003_AFT12-1_66	0.0000	894	0.4978	0.0000	0	0	0	0.0000	0	0.00
BGC0000003_AFTR-2_67	0.0000	1335	0.5303	0.0000	0	0	0	0.0000	0	0.00
BGC0000003_AFT3-2_68	0.0000	891	0.5432	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_aflT_69	0.0000	1542	0.5506	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_pksA_70	0.0000	6030	0.5423	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_nor-1_71	0.0000	816	0.5944	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_fas-2_72	0.0000	5040	0.5734	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_fas-1_73	0.0000	5667	0.5341	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_aflR_74	0.0000	1335	0.5865	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_aflJ_75	0.0000	1317	0.5672	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_adhA_76	0.0000	837	0.5771	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_estA_77	0.0000	945	0.5683	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_norA_78	0.0000	948	0.5422	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_ver-1_79	0.0000	789	0.5767	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_verA_80	0.0000	1482	0.5310	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_avnA_81	0.0000	1488	0.5612	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_verB_82	0.0000	1503	0.5396	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_avfA_83	0.0000	849	0.5135	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_omtB_84	0.0000	1161	0.5185	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_omtA_85	0.0000	1257	0.5370	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_ordA_86	0.0000	1587	0.5287	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_vbs_87	0.0000	1932	0.5430	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_cypX_88	0.0000	1527	0.5580	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_moxY_89	0.0000	1464	0.5710	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_ordB_90	0.0000	801	0.5368	0.0000	0	0	0	0.0000	0	0.00
BGC0000004_hypA_91	0.0000	1446	0.5332	0.0000	0	0	0	0.0000	0	0.00
BGC0000005_estA2_92	0.0000	945	0.5651	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_aflT_93	0.0000	1614	0.5607	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_pksA_94	0.0000	6330	0.5422	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_nor-1_95	0.0000	816	0.5907	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_fas-2_hexA_96	0.0000	5016	0.5720	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_NULL_97	0.0000	5667	0.5340	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_NULL_98	0.0000	1335	0.5858	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_aflJ_99	0.0000	1317	0.5702	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_adhA_100	0.0000	837	0.5759	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_estA_101	0.0000	945	0.5714	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_norA_102	0.0000	1167	0.5321	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_ver-1_103	0.0000	789	0.5792	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_verA_104	0.0000	1482	0.5256	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_avnA_105	0.0000	1488	0.5618	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_verB_106	0.0000	1503	0.5376	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_avfA_107	0.0000	849	0.5206	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_omtB_108	0.0000	1161	0.5185	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_omtA_109	0.0000	1257	0.5378	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_ordA_110	0.0000	1587	0.5299	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_vbs_111	0.0000	1932	0.5399	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_cypX_112	0.0000	1527	0.5566	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_moxY_113	0.0000	1746	0.5693	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_ordB_114	0.0000	801	0.5418	0.0000	0	0	0	0.0000	0	0.00
BGC0000006_hypA_115	0.0000	1497	0.5257	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_116	0.0000	1149	0.5492	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_117	0.0000	1500	0.5507	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_118	0.0000	1614	0.5651	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_119	0.0000	6330	0.5427	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_120	0.0000	816	0.5968	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_121	0.0000	5016	0.5722	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_122	0.0000	5670	0.5390	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_123	0.0000	1305	0.5839	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_124	0.0000	1317	0.5642	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_125	0.0000	831	0.5680	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_126	0.0000	945	0.5640	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_127	0.0000	1167	0.5424	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_128	0.0000	789	0.5767	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_129	0.0000	1488	0.5255	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_130	0.0000	1491	0.5627	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_131	0.0000	1491	0.5480	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_132	0.0000	858	0.5221	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_133	0.0000	1161	0.5254	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_134	0.0000	1257	0.5338	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_135	0.0000	1587	0.5261	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_136	0.0000	1932	0.5435	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_137	0.0000	1527	0.5573	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_138	0.0000	1467	0.5658	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_139	0.0000	801	0.5268	0.0000	0	0	0	0.0000	0	0.00
BGC0000007_NULL_140	0.0000	1488	0.5336	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_141	0.0000	1614	0.5589	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_142	0.0000	6330	0.5425	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_143	0.0000	816	0.5944	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_144	0.0000	5016	0.5728	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_145	0.0000	5667	0.5333	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_146	0.0000	1335	0.5850	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_147	0.0000	1317	0.5695	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_148	0.0000	837	0.5771	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_149	0.0000	945	0.5735	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_150	0.0000	1167	0.5347	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_151	0.0000	789	0.5779	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_152	0.0000	1482	0.5270	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_153	0.0000	1488	0.5612	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_154	0.0000	1503	0.5349	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_155	0.0000	849	0.5218	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_156	0.0000	1161	0.5151	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_157	0.0000	1257	0.5449	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_158	0.0000	1587	0.5299	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_159	0.0000	1932	0.5440	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_160	0.0000	1527	0.5665	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_161	0.0000	1464	0.5738	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_162	0.0000	801	0.5368	0.0000	0	0	0	0.0000	0	0.00
BGC0000008_NULL_163	0.0000	1497	0.5257	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_164	0.0000	1149	0.5431	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_165	0.0000	1596	0.5445	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_166	0.0000	1614	0.5595	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_167	0.0000	6303	0.5394	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_168	0.0000	813	0.5904	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_169	0.0000	5022	0.5693	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_170	0.0000	5670	0.5420	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_171	0.0000	1329	0.6005	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_172	0.0000	1317	0.5596	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_173	0.0000	810	0.5691	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_174	0.0000	945	0.5714	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_175	0.0000	1167	0.5407	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_176	0.0000	789	0.5665	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_177	0.0000	1482	0.5486	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_178	0.0000	1488	0.5672	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_179	0.0000	1521	0.5457	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_180	0.0000	849	0.5100	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_181	0.0000	1161	0.5228	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_182	0.0000	1269	0.5414	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_183	0.0000	1587	0.5325	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_184	0.0000	1926	0.5493	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_185	0.0000	1527	0.5612	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_186	0.0000	1815	0.5620	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_187	0.0000	807	0.5266	0.0000	0	0	0	0.0000	0	0.00
BGC0000009_NULL_188	0.0000	1488	0.5349	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_189	0.0000	1626	0.5590	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_190	0.0000	816	0.5919	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_191	0.0000	5016	0.5722	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_192	0.0000	5667	0.5340	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_193	0.0000	1335	0.5865	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_194	0.0000	1308	0.5673	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_195	0.0000	837	0.5759	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_196	0.0000	945	0.5735	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_197	0.0000	1167	0.5338	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_198	0.0000	789	0.5779	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_199	0.0000	1482	0.5270	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_200	0.0000	1488	0.5618	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_201	0.0000	1503	0.5369	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_202	0.0000	849	0.5206	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_203	0.0000	1161	0.5194	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_204	0.0000	1257	0.5434	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_205	0.0000	1587	0.5287	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_206	0.0000	1932	0.5430	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_207	0.0000	1527	0.5566	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_208	0.0000	1746	0.5704	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_209	0.0000	801	0.5393	0.0000	0	0	0	0.0000	0	0.00
BGC0000010_NULL_210	0.0000	1497	0.5264	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_211	0.0000	1683	0.5128	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_212	0.0000	1164	0.5524	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_213	0.0000	795	0.5786	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_214	0.0000	666	0.5420	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_215	0.0000	396	0.5808	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_216	0.0000	1485	0.5461	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_217	0.0000	6600	0.5474	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_218	0.0000	1443	0.5863	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_219	0.0000	867	0.5767	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_220	0.0000	396	0.5480	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_221	0.0000	792	0.5808	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_222	0.0000	1626	0.5603	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_223	0.0000	1173	0.5737	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_224	0.0000	1518	0.5422	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_225	0.0000	897	0.5463	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_226	0.0000	222	0.5270	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_227	0.0000	942	0.5520	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_228	0.0000	4752	0.5802	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_229	0.0000	5757	0.5347	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_230	0.0000	1485	0.5414	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_231	0.0000	432	0.5509	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_232	0.0000	1914	0.5350	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_233	0.0000	858	0.5408	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_234	0.0000	1140	0.5412	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_235	0.0000	810	0.5580	0.0000	0	0	0	0.0000	0	0.00
BGC0000011_NULL_236	0.0000	1434	0.5174	0.0000	0	0	0	0.0000	0	0.00
BGC0000012_alt1_237	0.0000	1575	0.5295	0.0000	0	0	0	0.0000	0	0.00
BGC0000012_alt2_238	0.0000	1614	0.5304	0.0000	0	0	0	0.0000	0	0.00
BGC0000012_alt3_239	0.0000	1530	0.5196	0.0000	0	0	0	0.0000	0	0.00
BGC0000012_alt4_240	0.0000	1449	0.5148	0.0000	0	0	0	0.0000	0	0.00
BGC0000012_alt5_241	0.0000	7656	0.5536	0.0000	0	0	0	0.0000	0	0.00
BGC0000013_ANIA_07071_242	0.0000	5613	0.5632	0.0000	0	0	0	0.0000	0	0.00
BGC0000013_ANIA_07070_243	0.0000	1023	0.5376	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_NULL_244	0.0000	979	0.7273	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_NULL_245	0.0000	975	0.7662	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_NULL_246	0.0000	672	0.7738	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_amb1_247	0.0000	951	0.7434	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_amb2_248	0.0000	1221	0.6839	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_amb3_249	0.0000	780	0.7000	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_amb4_250	0.0000	1386	0.7172	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_amb5_251	0.0000	1527	0.7400	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_amb6_252	0.0000	1434	0.7106	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambA_253	0.0000	3192	0.7240	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambB_254	0.0000	11070	0.7538	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambC_255	0.0000	10968	0.7635	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambD_256	0.0000	5679	0.7542	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambE_257	0.0000	10524	0.7354	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambF_258	0.0000	6594	0.6908	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambI_259	0.0000	1320	0.6258	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambG_260	0.0000	2220	0.6712	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambH_261	0.0000	5322	0.6990	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambJ_262	0.0000	1422	0.6835	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambP_263	0.0000	1071	0.6844	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambO_264	0.0000	1128	0.6968	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambN_265	0.0000	1629	0.6961	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambQ_266	0.0000	1605	0.6698	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambR_267	0.0000	1341	0.6488	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambS_268	0.0000	1080	0.6463	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_ambM_269	0.0000	1188	0.6439	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_NULL_270	0.0000	255	0.6353	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_NULL_271	0.0000	261	0.6552	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_NULL_272	0.0000	402	0.6692	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_amb7_273	0.0000	6264	0.6753	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_amb8_274	0.0000	708	0.6822	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_amb9_275	0.0000	1119	0.7355	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_NULL_276	0.0000	2961	0.7636	0.0000	0	0	0	0.0000	0	0.00
BGC0000014_NULL_277	0.0000	2898	0.7198	0.0000	0	0	0	0.0000	0	0.00
BGC0000016_NULL_278	0.0000	864	0.7176	0.0000	0	0	0	0.0000	0	0.00
BGC0000016_NULL_279	0.0000	2670	0.7573	0.0000	0	0	0	0.0000	0	0.00
BGC0000016_NULL_280	0.0000	1494	0.6707	0.0000	0	0	0	0.0000	0	0.00
BGC0000017_NULL_281	0.0000	720	0.4236	0.0000	0	0	0	0.0000	0	0.00
BGC0000017_anaA_282	0.0000	756	0.3942	0.0000	0	0	0	0.0000	0	0.00
BGC0000017_anaB_283	0.0000	1146	0.4319	0.0000	0	0	0	0.0000	0	0.00
BGC0000017_anaC_284	0.0000	1617	0.4286	0.0000	0	0	0	0.0000	0	0.00
BGC0000017_anaD_285	0.0000	264	0.3447	0.0000	0	0	0	0.0000	0	0.00
BGC0000017_anaE_286	0.0000	6441	0.4527	0.0000	0	0	0	0.0000	0	0.00
BGC0000017_anaF_287	0.0000	5598	0.4552	0.0000	0	0	0	0.0000	0	0.00
BGC0000017_anaG_288	0.0000	4902	0.4625	0.0000	0	0	0	0.0000	0	0.00
